1m | MACD(10,25,5) | 胜率: 12.50% | 收益: -2.49%
1m | MACD(10,25,6) | 胜率: 18.75% | 收益: -2.69%
1m | MACD(10,25,7) | 胜率: 26.09% | 收益: -2.21%
1m | MACD(10,25,8) | 胜率: 34.04% | 收益: -0.90%
1m | MACD(10,25,9) | 胜率: 27.27% | 收益: -2.26%
1m | MACD(10,26,5) | 胜率: 26.67% | 收益: -2.21%
1m | MACD(10,26,6) | 胜率: 30.61% | 收益: -1.17%
1m | MACD(10,26,7) | 胜率: 25.49% | 收益: -1.94%
1m | MACD(10,26,8) | 胜率: 24.53% | 收益: -2.41%
1m | MACD(10,26,9) | 胜率: 28.57% | 收益: -2.02%
1m | MACD(10,27,5) | 胜率: 20.00% | 收益: -2.10%
1m | MACD(10,27,6) | 胜率: 22.22% | 收益: -2.37%
1m | MACD(10,27,7) | 胜率: 28.57% | 收益: -2.49%
1m | MACD(10,27,8) | 胜率: 26.79% | 收益: -2.21%
1m | MACD(10,27,9) | 胜率: 25.00% | 收益: -2.85%
1m | MACD(10,28,5) | 胜率: 24.07% | 收益: -2.30%
1m | MACD(10,28,6) | 胜率: 23.21% | 收益: -2.81%
1m | MACD(10,28,7) | 胜率: 22.41% | 收益: -2.65%
1m | MACD(10,28,8) | 胜率: 21.82% | 收益: -2.70%
1m | MACD(10,28,9) | 胜率: 20.83% | 收益: -2.22%
1m | MACD(10,29,5) | 胜率: 18.18% | 收益: -2.73%
1m | MACD(10,29,6) | 胜率: 21.82% | 收益: -2.70%
1m | MACD(10,29,7) | 胜率: 20.37% | 收益: -2.62%
1m | MACD(10,29,8) | 胜率: 28.95% | 收益: -0.67%
1m | MACD(10,29,9) | 胜率: 27.03% | 收益: -0.83%
1m | MACD(10,30,5) | 胜率: 22.00% | 收益: -2.30%
1m | MACD(10,30,6) | 胜率: 27.03% | 收益: -0.83%
1m | MACD(10,30,7) | 胜率: 28.57% | 收益: -0.71%
1m | MACD(10,30,8) | 胜率: 27.59% | 收益: 0.43%
1m | MACD(10,30,9) | 胜率: 27.59% | 收益: 0.55%
1m | MACD(10,31,5) | 胜率: 23.53% | 收益: -0.79%
1m | MACD(10,31,6) | 胜率: 23.53% | 收益: -0.55%
1m | MACD(10,31,7) | 胜率: 29.63% | 收益: 0.67%
1m | MACD(10,31,8) | 胜率: 29.63% | 收益: 0.67%
1m | MACD(10,31,9) | 胜率: 30.77% | 收益: 0.71%
1m | MACD(10,32,5) | 胜率: 29.41% | 收益: -0.40%
1m | MACD(10,32,6) | 胜率: 30.30% | 收益: -0.51%
1m | MACD(10,32,7) | 胜率: 30.30% | 收益: -0.99%
1m | MACD(10,32,8) | 胜率: 22.22% | 收益: 0.51%
1m | MACD(10,32,9) | 胜率: 20.83% | 收益: 0.55%
1m | MACD(10,33,5) | 胜率: 30.30% | 收益: -0.71%
1m | MACD(10,33,6) | 胜率: 25.00% | 收益: -0.87%
1m | MACD(10,33,7) | 胜率: 25.00% | 收益: -0.75%
1m | MACD(10,33,8) | 胜率: 25.00% | 收益: 0.51%
1m | MACD(10,33,9) | 胜率: 25.00% | 收益: 1.06%
1m | MACD(10,34,5) | 胜率: 26.67% | 收益: -0.71%
1m | MACD(10,34,6) | 胜率: 30.77% | 收益: -0.67%
1m | MACD(10,34,7) | 胜率: 25.00% | 收益: 1.06%
